iter	Passed	Remaining
604	5332	3481
605	5340	3472
606	5349	3463
607	5357	3454
608	5367	3445
609	5376	3437
610	5385	3428
611	5394	3419
612	5402	3411
613	5411	3401
614	5419	3392
615	5427	3383
616	5435	3374
617	5443	3365
618	5452	3356
619	5461	3347
620	5469	3338
621	5478	3329
622	5487	3320
623	5495	3311
624	5504	3302
625	5512	3293
626	5521	3284
627	5529	3275
628	5537	3266
629	5545	3257
630	5554	3248
631	5563	3239
632	5572	3230
633	5581	3221
634	5589	3212
635	5598	3204
636	5606	3195
637	5615	3186
638	5623	3176
639	5632	3168
640	5640	3159
641	5648	3149
642	5657	3140
643	5665	3131
644	5674	3122
645	5682	3114
646	5691	3105
647	5700	3096
648	5709	3087
649	5717	3078
650	5726	3069
651	5735	3061
652	5743	3052
653	5752	3043
654	5761	3034
655	5769	3025
656	5778	3017
657	5787	3007
658	5796	2999
659	5804	2990
660	5813	2981
661	5821	2972
662	5829	2963
663	5838	2954
664	5847	2945
665	5855	2936
666	5864	2927
667	5873	2919
668	5881	2909
669	5889	2900
670	5898	2891
671	5906	2882
672	5915	2874
673	5923	2865
674	5932	2856
675	5941	2847
676	5949	2838
677	5957	2829
678	5966	2820
679	5974	2811
680	5983	2802
681	5991	2793
682	5999	2784
683	6007	2775
684	6016	2766
685	6024	2757
686	6033	2748
687	6041	2739
688	6051	2731
689	6059	2722
690	6068	2713
691	6076	2704
692	6085	2695
693	6093	2686
694	6102	2677
695	6110	2668
696	6119	2660
697	6128	2651
698	6137	2642
699	6146	2634
700	6155	2625
701	6164	2616
702	6174	2608
703	6184	2600
704	6193	2591
705	6202	2582
706	6212	2574
707	6221	2565
708	6230	2557
709	6239	2548
710	6248	2539
711	6257	2531
712	6265	2522
713	6274	2513
714	6283	2504
715	6291	2495
716	6300	2486
717	6309	2478
718	6317	2469
719	6326	2460
720	6335	2451
721	6343	2442
722	6351	2433
723	6360	2424
724	6368	2415
725	6377	2406
726	6385	2397
727	6393	2388
728	6402	2379
729	6410	2371
730	6419	2362
731	6427	2353
732	6435	2344
733	6443	2335
734	6452	2326
735	6460	2317
736	6469	2308
737	6478	2299
738	6486	2290
739	6496	2282
740	6505	2274
741	6514	2265
742	6523	2256
743	6531	2247
744	6540	2238
745	6548	2229
746	6556	2220
747	6565	2212
748	6574	2203
749	6583	2194
750	6592	2185
751	6601	2177
752	6609	2168
753	6618	2159
754	6626	2150
755	6634	2141
756	6643	2132
757	6652	2123
758	6661	2115
759	6670	2106
760	6680	2098
761	6689	2089
762	6698	2080
763	6707	2072
764	6716	2063
765	6725	2054
766	6735	2045
767	6744	2037
768	6753	2028
769	6762	2019
770	6771	2011
771	6780	2002
772	6789	1993
773	6797	1984
774	6805	1975
775	6813	1966
776	6822	1958
777	6831	1949
778	6839	1940
779	6848	1931
780	6857	1922
781	6865	1913
782	6873	1905
783	6882	1896
784	6891	1887
785	6899	1878
786	6908	1869
787	6917	1860
788	6925	1852
789	6934	1843
790	6942	1834
791	6951	1825
792	6959	1816
793	6968	1807
794	6976	1799
795	6985	1790
796	6994	1781
797	7002	1772
798	7011	1763
799	7019	1754
800	7028	1746
801	7036	1737
802	7045	1728
803	7054	1719
804	7063	1710
805	7071	1702
806	7080	1693
807	7088	1684
808	7096	1675
809	7105	1666
810	7114	1657
811	7122	1649
812	7131	1640
813	7139	1631
814	7148	1622
815	7158	1614
816	7166	1605
817	7174	1596
818	7183	1587
819	7192	1578
820	7200	1569
821	7209	1561
822	7218	1552
823	7226	1543
824	7235	1534
825	7243	1525
826	7252	1517
827	7260	1508
828	7268	1499
829	7277	1490
830	7285	1481
831	7294	1472
832	7303	1464
833	7311	1455
834	7320	1446
835	7329	1437
836	7338	1429
837	7347	1420
838	7356	1411
839	7365	1402
840	7373	1394
841	7382	1385
842	7390	1376
843	7399	1367
844	7407	1358
845	7417	1350
846	7425	1341
847	7434	1332
848	7442	1323
849	7451	1314
850	7460	1306
851	7468	1297
852	7477	1288
853	7486	1279
854	7495	1271
855	7503	1262
856	7512	1253
857	7521	1244
858	7530	1236
859	7539	1227
860	7548	1218
861	7557	1209
862	7566	1201
863	7574	1192
864	7583	1183
865	7591	1174
866	7600	1165
867	7608	1157
868	7617	1148
869	7626	1139
870	7635	1130
871	7644	1122
872	7652	1113
873	7661	1104
874	7669	1095
875	7678	1086
876	7687	1078
877	7695	1069
878	7704	1060
879	7713	1051
880	7722	1043
881	7731	1034
882	7739	1025
883	7747	1016
884	7756	1007
885	7765	999
886	7774	990
887	7783	981
888	7791	972
889	7800	964
890	7808	955
891	7817	946
892	7826	937
893	7834	928
894	7842	920
895	7851	911
896	7859	902
897	7868	893
898	7877	885
899	7885	876
900	7894	867
901	7903	858
902	7911	849
903	7919	841
904	7928	832
905	7937	823
906	7948	815
907	7958	806
908	7968	797
909	7977	788
910	7987	780
911	7997	771
912	8006	762
913	8015	754
914	8024	745
915	8034	736
916	8044	728
917	8053	719
918	8062	710
919	8072	701
920	8081	693
921	8092	684
922	8101	675
923	8110	667
924	8120	658
925	8129	649
926	8138	640
927	8148	632
928	8157	623
929	8165	614
930	8174	605
931	8182	597
932	8191	588
933	8200	579
934	8209	570
935	8218	561
936	8226	553
937	8235	544
938	8243	535
939	8252	526
940	8260	517
941	8269	509
942	8277	500
943	8285	491
944	8294	482
945	8303	473
946	8311	465
947	8319	456
948	8328	447
949	8336	438
950	8345	429
951	8353	421
952	8362	412
953	8371	403
954	8379	394
955	8388	386
956	8397	377
957	8405	368
958	8414	359
959	8423	350
960	8431	342
961	8440	333
962	8448	324
963	8457	315
964	8465	307
965	8474	298
966	8482	289
967	8491	280
968	8500	271
969	8509	263
970	8517	254
971	8525	245
972	8534	236
973	8542	228
974	8552	219
975	8561	210
976	8570	201
977	8579	193
978	8589	184
979	8598	175
980	8607	166
981	8616	157
982	8626	149
983	8635	140
984	8645	131
985	8655	122
986	8663	114
987	8673	105
988	8682	96
989	8692	87
990	8701	79
991	8711	70
992	8720	61
993	8729	52
994	8738	43
995	8747	35
996	8755	26
997	8763	17
998	8772	8
999	8781	0
